url,exchange,preference,class,type
azjlbc.gov,mx-caprica.easydns.com.,0,IN,MX
azland.gov,aspmx.l.google.com.,1,IN,MX
azleg.gov,azleg-gov.mail.protection.outlook.com.,3,IN,MX
azlibrary.gov,azlibrary-gov.mail.protection.outlook.com.,0,IN,MX
azliquor.gov,aspmx.l.google.com.,1,IN,MX
azlottery.gov,aspmx.l.google.com.,1,IN,MX
azmag.gov,azmag-gov.mail.protection.outlook.com.,0,IN,MX
azmd.gov,aspmx.l.google.com.,1,IN,MX
azoca.gov,azoca-gov.mail.protection.outlook.com.,0,IN,MX
azot.gov,aspmx.l.google.com.,1,IN,MX
azpa.gov,aspmx.l.google.com.,1,IN,MX
azpharmacy.gov,aspmx.l.google.com.,1,IN,MX
azpost.gov,aspmx.l.google.com.,1,IN,MX
azppse.gov,aspmx.l.google.com.,1,IN,MX
azre.gov,aspmx.l.google.com.,1,IN,MX
azroc.gov,aspmx.l.google.com.,1,IN,MX
azrra.gov,aspmx.l.google.com.,1,IN,MX
azruco.gov,aspmx.l.google.com.,1,IN,MX
azsal.gov,aspmx.l.google.com.,1,IN,MX
azsenate.gov,mail.azsenate.gov.,10,IN,MX
azsfb.gov,aspmx.l.google.com.,1,IN,MX
azsos.gov,azsos-gov.mail.protection.outlook.com.,0,IN,MX
azstateparks.gov,aspmx.l.google.com.,1,IN,MX
aztaxes.gov,aspmx.l.google.com.,1,IN,MX
aztecnm.gov,aztecnm-gov.mail.protection.outlook.com.,0,IN,MX
aztransportationboard.gov,aztransportationboard-gov.mail.protection.outlook.com.,10,IN,MX
aztreasurer.gov,aztreasurer-gov.mail.protection.outlook.com.,0,IN,MX
