url,,url,exchange,preference,class,type
aransaspasstx.gov,199,aransaspasstx.gov,aspmx.l.google.com.,10,IN,MX
arapahoeco.gov,7953,arapahoeco.gov,arapahoeco-gov.mail.protection.outlook.com.,0,IN,MX
arc.gov,10429,arc.gov,arc-gov.mail.protection.outlook.com.,0,IN,MX
arcadami.gov,202,arcadami.gov,arcadami.gov.,0,IN,MX
arcadia-fl.gov,205,arcadia-fl.gov,mx2-us1.ppe-hosted.com.,0,IN,MX
arcadiaca.gov,203,arcadiaca.gov,d166201a.ess.barracudanetworks.com.,0,IN,MX
archbaldboroughpa.gov,207,archbaldboroughpa.gov,cuda1.crossvalley.com.,10,IN,MX
archdale-nc.gov,209,archdale-nc.gov,archdalenc-gov02b.mail.protection.outlook.com.,0,IN,MX
archerlodgenc.gov,210,archerlodgenc.gov,archerlodgenc-gov.mail.protection.outlook.com.,0,IN,MX
archives.gov,11456,archives.gov,us.etp.fireeyegov.com.,10,IN,MX
arcoidaho.gov,211,arcoidaho.gov,arcoidaho-gov.mail.protection.outlook.com.,0,IN,MX
arcolapdtx.gov,212,arcolapdtx.gov,arcolapdtx-gov.mail.protection.outlook.com.,10,IN,MX
arcolatexas.gov,213,arcolatexas.gov,arcolatexas-gov.mail.protection.outlook.com.,0,IN,MX
arcourts.gov,12332,arcourts.gov,arcourts-gov.mail.protection.outlook.com.,0,IN,MX
arcourts1st.gov,12330,arcourts1st.gov,arcourts1st-gov.mail.protection.outlook.com.,0,IN,MX
arcourts6th.gov,12331,arcourts6th.gov,arcourts6th-gov.mail.protection.outlook.com.,0,IN,MX
arctic.gov,11499,arctic.gov,aspmx.l.google.com.,1,IN,MX
arcticvillage.gov,13514,arcticvillage.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
ardmoreok.gov,214,ardmoreok.gov,ardmoreok-gov.mail.protection.outlook.com.,0,IN,MX
ardot.gov,12333,ardot.gov,mx1.hc5209-46.iphmx.com.,10,IN,MX
arenaccountymi.gov,7954,arenaccountymi.gov,gw3058.fortimail.com.,5,IN,MX
arizona.gov,12337,arizona.gov,aspmx.l.google.com.,1,IN,MX
arkadelphia.gov,215,arkadelphia.gov,mail.cjissolutions.com.,0,IN,MX
arkansas.gov,12343,arkansas.gov,arkansas-gov.mail.protection.outlook.com.,10,IN,MX
arkansasag.gov,12342,arkansasag.gov,arkansasag-gov.mail.protection.outlook.com.,10,IN,MX
arkansascityks.gov,216,arkansascityks.gov,arkansascityks-gov.mail.protection.outlook.com.,0,IN,MX
arklegaudit.gov,12344,arklegaudit.gov,mail.arklegaudit.gov.,1,IN,MX
arlingtoncountyva.gov,7955,arlingtoncountyva.gov,arlingtoncountyva-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonma.gov,218,arlingtonma.gov,d241978a.ess.barracudanetworks.com.,5,IN,MX
arlingtonmn.gov,219,arlingtonmn.gov,arlingtonmn-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonne.gov,220,arlingtonne.gov,arlingtonne-gov.mail.protection.outlook.com.,0,IN,MX
arlingtontx.gov,221,arlingtontx.gov,mxb-003aba01.gslb.pphosted.com.,10,IN,MX
arlingtonva.gov,7956,arlingtonva.gov,arlingtonva-gov.mail.protection.outlook.com.,0,IN,MX
arlingtonwa.gov,223,arlingtonwa.gov,d138933a.ess.barracudanetworks.com.,0,IN,MX
arm.gov,10575,arm.gov,mxb-00689501.gslb.gpphosted.com.,10,IN,MX
arpa-h.gov,10690,arpa-h.gov,nihcesxway4.hub.nih.gov.,10,IN,MX
arpah.gov,10698,arpah.gov,nihcesxwayst06.hub.nih.gov.,10,IN,MX
ars-grin.gov,11644,ars-grin.gov,usda-gov.mail.protection.outlook.com.,5,IN,MX
artesianm.gov,225,artesianm.gov,artesianm-gov.mail.protection.outlook.com.,10,IN,MX
arthur-il.gov,226,arthur-il.gov,aspmx.l.google.com.,1,IN,MX
artreasury.gov,12345,artreasury.gov,d126328a.ess.barracudanetworks.com.,10,IN,MX
artrs.gov,12359,artrs.gov,mail.artrs.gov.,10,IN,MX
arts.gov,11485,arts.gov,arts-gov.mail.eo.outlook.com.,0,IN,MX
arvadafireco.gov,11893,arvadafireco.gov,arvadafireco-gov.mail.protection.outlook.com.,0,IN,MX
as.gov,12367,as.gov,ASPMX.L.GOOGLE.COM.,1,IN,MX
asc.gov,10430,asc.gov,asc-gov.mail.protection.outlook.com.,0,IN,MX
ascensionparishla.gov,7958,ascensionparishla.gov,ascensionparishla-gov.mail.protection.outlook.com.,4,IN,MX
aselectionoffice.gov,12362,aselectionoffice.gov,mail.aselectionoffice.gov.,0,IN,MX
ashburnham-ma.gov,231,ashburnham-ma.gov,ashburnhamma-gov02e.mail.protection.outlook.com.,0,IN,MX
ashbyma.gov,232,ashbyma.gov,ashbyma-gov.mail.protection.outlook.com.,0,IN,MX
asheboronc.gov,233,asheboronc.gov,mail.asheboronc.gov.,10,IN,MX
ashevillenc.gov,235,ashevillenc.gov,aspmx.l.google.com.,1,IN,MX
ashgrovemo.gov,239,ashgrovemo.gov,ashgrovemo-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcitytn.gov,240,ashlandcitytn.gov,ashlandcitytn-gov.mail.protection.outlook.com.,0,IN,MX
ashlandcountywi.gov,7960,ashlandcountywi.gov,d296494a.ess.barracudanetworks.com.,10,IN,MX
ashlandky.gov,241,ashlandky.gov,ashlandky-gov.mail.protection.outlook.com.,0,IN,MX
ashlandva.gov,242,ashlandva.gov,ashlandva-gov.mail.protection.outlook.com.,0,IN,MX
ashtabulacountyprosecutoroh.gov,7962,ashtabulacountyprosecutoroh.gov,ashtabulacountyprosecutoroh.gov.,0,IN,MX
ashtonid.gov,243,ashtonid.gov,ashtonid-gov.mail.protection.outlook.com.,0,IN,MX
ashvilleohio.gov,244,ashvilleohio.gov,ashvilleohio-gov.mail.protection.outlook.com.,0,IN,MX
ashwaubenon.gov,245,ashwaubenon.gov,ashwaubenon-gov.mail.protection.outlook.com.,0,IN,MX
asianpacificheritage.gov,11742,asianpacificheritage.gov,pps2b.loc.gov.,5,IN,MX
aspen.gov,246,aspen.gov,aspen-gov.mail.protection.outlook.com.,0,IN,MX
aspr.gov,10706,aspr.gov,aspr-gov.mail.protection.outlook.com.,0,IN,MX
assumptionla.gov,7963,assumptionla.gov,assumptionla-gov.mail.protection.outlook.com.,0,IN,MX
assumptionoep-la.gov,7964,assumptionoep-la.gov,assumptionoepla-gov03c.mail.protection.outlook.com.,0,IN,MX
assyriatwpmi.gov,247,assyriatwpmi.gov,assyriatwpmi.gov.,0,IN,MX
atchisonkspolice.gov,248,atchisonkspolice.gov,atchisonkspolice-gov.mail.protection.outlook.com.,0,IN,MX
atf.gov,10933,atf.gov,mx-da6.usdoj.gov.,10,IN,MX
athelstanewiclerk.gov,249,athelstanewiclerk.gov,athelstaneWIclerk-gov.mail.protection.outlook.com.,0,IN,MX
athensil.gov,250,athensil.gov,spam-spi-il.agcomtech.com.,0,IN,MX
athenstn.gov,251,athenstn.gov,athenstn-gov.mail.protection.outlook.com.,0,IN,MX
athenstx.gov,253,athenstx.gov,athenstx-gov.mail.protection.outlook.com.,0,IN,MX
athensvillageny.gov,254,athensvillageny.gov,athensvillageny-gov.mail.protection.outlook.com.,0,IN,MX
athensvt.gov,255,athensvt.gov,athensvt-gov.mail.protection.outlook.com.,0,IN,MX
atkinson-nh.gov,256,atkinson-nh.gov,atkinson-nh-gov.mx1-na.mailanyone.net.,10,IN,MX
atlantaga.gov,259,atlantaga.gov,mxa-003fa601.gslb.pphosted.com.,0,IN,MX
atlanticcountynj.gov,7965,atlanticcountynj.gov,route3.mx.cloudflare.net.,2,IN,MX
atlantisfl.gov,262,atlantisfl.gov,d198042a.ess.barracudanetworks.com.,10,IN,MX
atlasalabama.gov,12369,atlasalabama.gov,smtp.secureserver.net.,10,IN,MX
attawauganfirect.gov,11894,attawauganfirect.gov,aspmx1.migadu.com.,10,IN,MX
attica-in.gov,263,attica-in.gov,atticain-gov01e.mail.protection.outlook.com.,0,IN,MX
attorneygeneral.gov,12371,attorneygeneral.gov,cust59467-1.in.mailcontrol.com.,10,IN,MX
