queried,a_record
andrewsnc-gov.mail.protection.outlook.com.,52.101.40.0
mx2-us.emailsecurity.app.,52.179.17.190
mx1-us.emailsecurity.app.,52.179.17.190
d277736b.ess.barracudanetworks.com.,209.222.82.255
d277736b.ess.barracudanetworks.com.,209.222.82.253
d277736b.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.253
d277736a.ess.barracudanetworks.com.,209.222.82.252
d277736a.ess.barracudanetworks.com.,209.222.82.255
mx-cluster-usa03.hornetsecurity.com.,173.45.18.100
mx-cluster-usa04.hornetsecurity.com.,173.45.18.100
mx-cluster-usa01.hornetsecurity.com.,173.45.18.100
mx-cluster-usa02.hornetsecurity.com.,173.45.18.100
mx1.emailsrvr.com.,173.203.187.1
mx2.emailsrvr.com.,173.203.187.2
annistonal-gov.mail.protection.outlook.com.,52.101.42.14
annistonal-gov.mail.protection.outlook.com.,52.101.41.6
annistonal-gov.mail.protection.outlook.com.,52.101.8.42
annistonal-gov.mail.protection.outlook.com.,52.101.194.19
annistonal-gov.mail.protection.outlook.com.,52.101.41.4
annistonal-gov.mail.protection.outlook.com.,52.101.194.12
annistonal-gov.mail.protection.outlook.com.,52.101.42.9
d222948b.ess.barracudanetworks.com.,209.222.82.255
d222948b.ess.barracudanetworks.com.,209.222.82.252
d222948b.ess.barracudanetworks.com.,209.222.82.253
d222948a.ess.barracudanetworks.com.,209.222.82.252
d222948a.ess.barracudanetworks.com.,209.222.82.255
d222948a.ess.barracudanetworks.com.,209.222.82.253
d222947a.ess.barracudanetworks.com.,209.222.82.253
d222947a.ess.barracudanetworks.com.,209.222.82.255
d222947a.ess.barracudanetworks.com.,209.222.82.252
d222947b.ess.barracudanetworks.com.,209.222.82.252
d222947b.ess.barracudanetworks.com.,209.222.82.255
d222947b.ess.barracudanetworks.com.,209.222.82.253
d222946b.ess.barracudanetworks.com.,209.222.82.255
d222946b.ess.barracudanetworks.com.,209.222.82.252
d222946b.ess.barracudanetworks.com.,209.222.82.253
d222946a.ess.barracudanetworks.com.,209.222.82.255
d222946a.ess.barracudanetworks.com.,209.222.82.252
d222946a.ess.barracudanetworks.com.,209.222.82.253
d185714a.ess.barracudanetworks.com.,209.222.82.252
d185714a.ess.barracudanetworks.com.,209.222.82.255
d185714a.ess.barracudanetworks.com.,209.222.82.253
d185714b.ess.barracudanetworks.com.,209.222.82.252
d185714b.ess.barracudanetworks.com.,209.222.82.255
d185714b.ess.barracudanetworks.com.,209.222.82.253
east.smtp.mx.exch091.serverdata.net.,64.78.24.70
west.smtp.mx.exch091.serverdata.net.,199.193.206.123
antrimnh-gov.mail.protection.outlook.com.,104.47.59.138
